#abreviaturas.tsv
token
al
apr
aug
bk
bwv
c
ca
cf
chap
chaps
cit
d
dec
diss
dr
e.g
ed
eds
esp
et
etc
ex
exx
feb
fig
figs
hob
i.e
ibid
jan
jul
jun
k
kv
mar
mr
mrs
ms
mss
n
no
nos
nov
oct
op
p
pp
prof
publ
repr
rev
sec
secs
sep
sept
st
trans
univ
viz
vol
vols
